agency,sector,note
Executive Office of the President,ALL,President oversees all sectors (regulator-in-chief)
Council of Economic Advisers,ALL,"Advises president on macro and sector-level economic policy; no direct regulatory authority but shapes policy across all sectors (15 U.S.C. §1023)"
Office of National Drug Control Policy,"pharmaceuticals, public health","Coordinates federal drug-control policy and oversees pharma/health-system funding related to substance abuse (21 U.S.C. §1701 et seq.)"
Department of the Treasury,"banks, financial services","OCC charters national banks; FinCEN oversees AML; OFAC imposes sanctions; regulates financial services broadly (12 U.S.C. §1 et seq.; 31 U.S.C. §310)"
Department of Commerce,"trade, technology, manufacturing, telecommunications","BIS controls dual-use exports; NTIA oversees spectrum; USPTO grants patents; broad mandate over commercial activity (15 U.S.C. §1501 et seq.)"
Department of Justice,"law enforcement, antitrust, financial crime","Antitrust Division enforces merger and competition law; FBI/DEA touch financial crime and pharma; broad law-enforcement jurisdiction (28 U.S.C. §501 et seq.)"
Department of Defense,"defense, aerospace","Largest federal buyer of defense and aerospace systems; DARPA funds dual-use technology (10 U.S.C. §111 et seq.)"
"Department of Defense (Navy)","defense, aerospace, shipbuilding","Secretary of the Navy oversees naval shipbuilding programs and naval aviation procurement (10 U.S.C. §8013 et seq.)"
Department of Health and Human Services,"pharmaceuticals, biotech, medical devices, health insurance","FDA approves drugs and devices; CMS administers Medicare/Medicaid; NIH funds biomedical R&D (42 U.S.C. §300 et seq.)"
Department of Homeland Security,"defense, technology, cybersecurity, construction","CISA protects critical infrastructure; CBP controls border trade; TSA regulates aviation security (6 U.S.C. §101 et seq.)"
Environmental Protection Agency,"energy, chemicals, utilities, autos, industrials","Sets emission and pollution standards under CAA/CWA/RCRA; affects energy generation, auto manufacturing, and chemical industries (42 U.S.C. §7401 et seq.)"
Department of the Interior,"energy, mining, natural resources","BLM manages federal oil/gas and coal leases; BOEM oversees offshore energy; Reclamation controls water (43 U.S.C. §1331 et seq.)"
Department of Energy,"energy, utilities, nuclear, oil & gas","Regulates nuclear power via NRC coordination; manages Strategic Petroleum Reserve; funds energy R&D (42 U.S.C. §7101 et seq.)"
Department of Transportation,"airlines, aerospace, autos, railroads","Oversees FAA (aviation safety); NHTSA (auto safety standards); FRA (rail safety); MARAD (maritime) (49 U.S.C. §101 et seq.)"
"Department of Transportation (FAA)","airlines, aerospace","FAA holds exclusive authority over civil aviation safety standards and airspace management (49 U.S.C. §40103)"
"Department of Transportation (FHWA)","construction, infrastructure","FHWA funds and oversees the National Highway System; major source of highway construction contracts (23 U.S.C. §101 et seq.)"
Department of Labor,"labor, employment services","OSHA sets workplace safety rules; Wage and Hour enforces pay standards; ERISA governs employee benefits; touches all employer sectors (29 U.S.C. §651 et seq.)"
Department of Education,"education technology, education services","Administers Title IV student-loan programs; shapes edtech procurement and higher-education markets (20 U.S.C. §3401 et seq.)"
Office of the Director of National Intelligence,"defense, technology, cybersecurity","Coordinates all 18 intelligence-community members; cyber threat analysis affects technology and defense sectors (50 U.S.C. §3023)"
Department of Housing and Urban Development,"real estate, construction, mortgages, banks","FHA insures mortgages; Ginnie Mae guarantees MBS; FHEO enforces fair housing; regulates mortgage markets (42 U.S.C. §3535 et seq.)"
Department of State,"trade, defense, foreign investment","ITAR controls arms exports; sanctions affect financial and energy sectors; negotiates bilateral trade agreements (22 U.S.C. §2651 et seq.)"
Office of Science and Technology Policy,"technology, semiconductors, defense, biotech","Advises president on R&D priorities; coordinates CHIPS Act implementation; influences federal science funding (42 U.S.C. §6611 et seq.)"
Social Security Administration,"insurance, financial services","Administers Old-Age/Survivors/Disability Insurance (OASDI); major influence on financial-services and insurance markets (42 U.S.C. §901 et seq.)"
Department of Agriculture,"agriculture, food, commodities","USDA regulates food safety (FSIS); administers farm lending and commodity support programs; RUS funds rural energy (7 U.S.C. §2201 et seq.)"
Office of Personnel Management,"technology, human resources","Manages federal workforce policies and benefits programs; oversees large federal IT contracts for HR systems (5 U.S.C. §1101 et seq.)"
NASA,"aerospace, technology","Civil space exploration and aeronautics R&D; major procurer of aerospace and advanced-technology contracts (51 U.S.C. §20101 et seq.)"
Department of Veterans Affairs,"pharmaceuticals, medical devices, healthcare, construction","Operates the largest integrated US health system; major buyer of pharmaceuticals, medical devices, and construction services (38 U.S.C. §301 et seq.)"
